drwxrwxrwx   - yarn   hadoop          0 2015-10-20 13:26 /app-logs
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 10:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000045.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 11:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000046.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 12:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000047.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 13:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000048.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 14:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000049.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 15:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000050.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 16:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000051.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 17:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000052.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 18:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000053.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 19:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000054.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 20:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000055.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 21:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000056.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 22:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000057.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-23 23:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000058.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 00:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000059.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 01:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000060.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 02:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000061.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 03:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000062.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 04:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000063.log
-rw-r--r--   2 hbase     hdfs           30 2015-10-24 05:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000064.log
-rw-r--r--   2 hbase     hdfs            0 2015-10-24 05:32 /apps/hbase/data/MasterProcWALs/state-00000000000000000065.log
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 14:32 /apps/hbase/data/WALs
drwxr-xr-x   - hbase     hdfs            0 2015-10-21 11:06 /apps/hbase/data/WALs/hregion-28140816
drwxr-xr-x   - hbase     hdfs            0 2015-10-24 05:32 /apps/hbase/data/WALs/mure04.cloud.hortonworks.com,16020,1445463092247
-rw-r--r--   2 hbase     hdfs           83 2015-10-24 05:32 /apps/hbase/data/WALs/mure04.cloud.hortonworks.com,16020,1445463092247/mure04.cloud.hortonworks.com%2C16020%2C1445463092247.default.1445689927651
